Main_id,Node_id,Title,Media_id,Local_File_Path,PDF_File_Path,OCR_File_Path
16264,16266,Sushi One - Page 1,36086,C:/Users/zxx91/Desktop/DSU_googleAPI/original_image\16264_16265_SushiOnePage2_OBJ.0_10762.jp2,C:/Users/zxx91/Desktop/DSU_googleAPI/pdf\16264\16265\16264_16265_SushiOnePage2_OBJ.0_10762.pdf,C:/Users/zxx91/Desktop/DSU_googleAPI/json\16264\16265\16264_16265_SushiOnePage2_OBJ.0_10762.json
16264,16265,Sushi One - Page 2,36085,C:/Users/zxx91/Desktop/DSU_googleAPI/original_image\16264_16266_SushiOnePage1_OBJ.0_10763.jp2,C:/Users/zxx91/Desktop/DSU_googleAPI/pdf\16264\16266\16264_16266_SushiOnePage1_OBJ.0_10763.pdf,C:/Users/zxx91/Desktop/DSU_googleAPI/json\16264\16266\16264_16266_SushiOnePage1_OBJ.0_10763.json
16267,16268,Harden &amp; L. C. Corp. - Page 1,36087,C:/Users/zxx91/Desktop/DSU_googleAPI/original_image\16267_16268_Harden&amp;L.C.Corp.Page1_OBJ.0_10764.jp2,C:/Users/zxx91/Desktop/DSU_googleAPI/pdf\16267\16268\16267_16268_Harden&amp;L.C.Corp.Page1_OBJ.0_10764.pdf,C:/Users/zxx91/Desktop/DSU_googleAPI/json\16267\16268\16267_16268_Harden&amp;L.C.Corp.Page1_OBJ.0_10764.json
16267,16269,Harden &amp; L. C. Corp. - Page 2,36088,C:/Users/zxx91/Desktop/DSU_googleAPI/original_image\16267_16269_Harden&amp;L.C.Corp.Page2_OBJ.0_10765.jp2,C:/Users/zxx91/Desktop/DSU_googleAPI/pdf\16267\16269\16267_16269_Harden&amp;L.C.Corp.Page2_OBJ.0_10765.pdf,C:/Users/zxx91/Desktop/DSU_googleAPI/json\16267\16269\16267_16269_Harden&amp;L.C.Corp.Page2_OBJ.0_10765.json
16270,16272,Sung Lin - Page 1,36090,C:/Users/zxx91/Desktop/DSU_googleAPI/original_image\16270_16271_SungLinPage2_OBJ.0_10766.jp2,C:/Users/zxx91/Desktop/DSU_googleAPI/pdf\16270\16271\16270_16271_SungLinPage2_OBJ.0_10766.pdf,C:/Users/zxx91/Desktop/DSU_googleAPI/json\16270\16271\16270_16271_SungLinPage2_OBJ.0_10766.json
16270,16271,Sung Lin - Page 2,36089,C:/Users/zxx91/Desktop/DSU_googleAPI/original_image\16270_16272_SungLinPage1_OBJ.0_10767.jp2,C:/Users/zxx91/Desktop/DSU_googleAPI/pdf\16270\16272\16270_16272_SungLinPage1_OBJ.0_10767.pdf,C:/Users/zxx91/Desktop/DSU_googleAPI/json\16270\16272\16270_16272_SungLinPage1_OBJ.0_10767.json
