Node_id,Title,Media_id,Local_File_Path,OCR_File_Path,PDF_File
16266,Sushi One - Page 1,36086,C:\\Users\\zxx91\\Desktop\\DSU_googleAPI\\OBJ.0_10762.jp2,C:\\Users\\zxx91\\Desktop\\DSU_googleAPI\\OBJ.0_10762.json,C:\\Users\\zxx91\\Desktop\\DSU_googleAPI\\OBJ.0_10762.pdf
16265,Sushi One - Page 2,36085,C:\\Users\\zxx91\\Desktop\\DSU_googleAPI\\OBJ.0_10763.jp2,C:\\Users\\zxx91\\Desktop\\DSU_googleAPI\\OBJ.0_10763.json,C:\\Users\\zxx91\\Desktop\\DSU_googleAPI\\OBJ.0_10763.pdf
16268,Harden &amp; L. C. Corp. - Page 1,36087,C:\\Users\\zxx91\\Desktop\\DSU_googleAPI\\OBJ.0_10764.jp2,C:\\Users\\zxx91\\Desktop\\DSU_googleAPI\\OBJ.0_10764.json,C:\\Users\\zxx91\\Desktop\\DSU_googleAPI\\OBJ.0_10764.pdf
16269,Harden &amp; L. C. Corp. - Page 2,36088,C:\\Users\\zxx91\\Desktop\\DSU_googleAPI\\OBJ.0_10765.jp2,C:\\Users\\zxx91\\Desktop\\DSU_googleAPI\\OBJ.0_10765.json,C:\\Users\\zxx91\\Desktop\\DSU_googleAPI\\OBJ.0_10765.pdf
16272,Sung Lin - Page 1,36090,C:\\Users\\zxx91\\Desktop\\DSU_googleAPI\\OBJ.0_10766.jp2,C:\\Users\\zxx91\\Desktop\\DSU_googleAPI\\OBJ.0_10766.json,C:\\Users\\zxx91\\Desktop\\DSU_googleAPI\\OBJ.0_10766.pdf
16271,Sung Lin - Page 2,36089,C:\\Users\\zxx91\\Desktop\\DSU_googleAPI\\OBJ.0_10767.jp2,C:\\Users\\zxx91\\Desktop\\DSU_googleAPI\\OBJ.0_10767.json,C:\\Users\\zxx91\\Desktop\\DSU_googleAPI\\OBJ.0_10767.pdf
